RID,DESIGN_ROW,SCENARIO,SEQ,pref1,a1_x1,a1_x2,a1_x3,a1_x4,a1_x5,a1_x6,a1_x7,a1_x8,a2_x1,a3_x2,a2_x3,a2_x4,a2_x5,a2_x6,a2_x7,a2_x8
1531,10,3,3,1,1,95,24,2,30,0,2,250,1,75,14,1,120,50,3,300
,,,,,,,,,,,,,,,,,,,,
1531,19,4,4,2,1,85,17,1,120,0,2,200,1,95,24,2,60,50,1,100
,,,,,,,,,,,,,,,,,,,,
1531,4,5,5,1,1,95,24,1,120,25,3,150,1,75,17,2,120,75,2,100
,,,,,,,,,,,,,,,,,,,,
1528,5,1,1,1,1,75,14,2,30,25,1,150,1,95,17,1,60,75,3,200
,,,,,,,,,,,,,,,,,,,,
1528,12,2,2,2,1,95,14,2,60,0,2,250,1,85,17,1,120,0,1,100
,,,,,,,,,,,,,,,,,,,,
1528,14,3,3,2,1,85,17,2,120,0,3,300,1,95,14,1,120,50,2,200
,,,,,,,,,,,,,,,,,,,,
1528,2,4,4,1,1,95,24,1,60,0,1,150,1,75,17,2,120,25,2,250
,,,,,,,,,,,,,,,,,,,,
1528,23,5,5,1,1,85,17,2,120,50,1,100,1,95,24,1,120,0,2,300
,,,,,,,,,,,,,,,,,,,,
1533,16,1,1,1,1,95,24,1,30,25,2,100,1,75,14,2,60,0,3,200
,,,,,,,,,,,,,,,,,,,,
1533,5,2,2,1,1,75,14,2,30,25,1,150,1,95,17,1,60,75,3,200
,,,,,,,,,,,,,,,,,,,,
1533,11,3,3,2,1,75,14,1,60,50,1,300,1,85,24,2,120,25,3,200
,,,,,,,,,,,,,,,,,,,,
1533,15,4,4,2,1,75,17,1,60,0,2,250,1,85,24,2,120,75,1,100
,,,,,,,,,,,,,,,,,,,,
1533,30,5,5,2,1,95,14,1,120,0,3,100,1,75,24,2,120,25,1,200
,,,,,,,,,,,,,,,,,,,,
1535,8,1,1,1,1,75,14,1,30,25,3,150,1,95,17,2,120,0,1,300
,,,,,,,,,,,,,,,,,,,,
1535,29,2,2,1,1,85,24,1,60,25,3,100,1,95,17,2,120,50,1,150
,,,,,,,,,,,,,,,,,,,,
1535,17,3,3,2,1,95,17,1,120,50,1,250,1,85,14,2,60,75,2,300
